,Datetime,Text
60,2020-03-11 22:54:00+00:00,The things that is going on in Yemen and Palestine is totally not acceptable and the world still silence.Saudi arabia regime and the occupation Israel will pay the price! God bless Yemen and Palestine! #TheResistance #Yemen #Palestine #Truth
61,2020-03-11 22:53:11+00:00,You are wrong. He's campaigned on the issues that polls show the American people are with him on. He built coalitions to get the Yemen war resolution passed. He does what he can to bring people aboard. Problem is the establishment will always hate left-wingers.
62,2020-03-11 22:53:06+00:00,A night on Twitter: Covid19 updates.. Swine flu in Monaghan Greece & Turkey on the brink More children dying in the Yemen war... In light of no postive vibes I’m off to bed and hopeful of a better tomorrow.
63,2020-03-11 22:52:21+00:00,i want to go up there and do it mtself :( I want to be ther and KNOW that the money im putting in gets to these families
64,2020-03-11 22:52:05+00:00,"Don't cry, baby. Criminals will not hear your screams. But we will take revenge on criminals, and God Almighty is with us and Victory is an ally us Yemen people. A Yemeni baby girl cries her father who was killed by the Saudi bombing. #Yemen https://twitter.com/Israa_alqahoom/status/783240485863292928/video/1"
65,2020-03-11 22:51:45+00:00,BBC News - #Yemen: The doctor on the front line after years of war 
66,2020-03-11 22:51:30+00:00,"In the last week ⁦@WFPChief⁩ David Beasley has been in Yemen, Syria and Jordan - Canada is supporting ⁦@WFP⁩ in some of the world’s toughest places. The number and scope of challenges continues to grow and Canada is there helping ⁦@WFP⁩"
67,2020-03-11 22:50:25+00:00,Yup God exists but so do evil spirts and demons. Who’s to say the demon of poverty isn’t holding the country of Yemen captive. Think about it and stop blaming God for everything that goes wrong in the world because it doesn’t work that way at all.
68,2020-03-11 22:49:28+00:00,do you like the policies he did while in office as VP? like the Iraq War? what about laying the groundwork for the concentration camps we have at the border? what about the Crime Bill? being in a campaign accepting money from Harvey Weinstein? War in Yemen?
69,2020-03-11 22:47:38+00:00,bro fuck off lmao let’s be realistic. Yemen is one of the poorest low income countries and is very undeveloped.
70,2020-03-11 22:47:20+00:00,"Thread by @bon2_o1sav4tjkp: #YEMEN #Mahrah resistance calls for armed struggle against Saudi occupation Sheikh Ali al-Harizi, top leader of tistance in Mahrah province, said on Tuesday that the peaceful movement has moved to the stage of armed conflict a…"
71,2020-03-11 22:45:47+00:00,Why Iran is waiting money in Yemen?
72,2020-03-11 22:45:39+00:00,"Cool, how many innocent kids did China murder in Yemen, Libya, Afghanistan, Iraq, Somalia, Syria?? Settle down and take some vitamin C"
73,2020-03-11 22:43:21+00:00,USA election = watch the birdie boys and girls Corona= be very frightened meanwhile------Yemen-climate change-Julian Assange-Nato mission creep-habitat loss-soil erosion-plastic pollution-mass surveillance just watch the birdie boys and girls!!!
74,2020-03-11 22:42:37+00:00,@mrjoelperry mate
75,2020-03-11 22:42:01+00:00,"US, UK troops arrive in Aden, to reoccupy southern parts of Yemen "
76,2020-03-11 22:40:42+00:00,Look at Yemen too...it stinks
77,2020-03-11 22:40:20+00:00,British and US troops provide targeting data to Saudi. This is who they target in Yemen. 
78,2020-03-11 22:39:35+00:00,"Just go to an Islamic country, still legal in Qatar, Yemen and up till 2014 Iran"
79,2020-03-11 22:39:12+00:00,British and US troops provide targeting data to Saudi. This is who they target in Yemen. 
80,2020-03-11 22:38:59+00:00,Small becky goes to yemen
81,2020-03-11 22:38:10+00:00,"I've #justdonated to fight famine. Famine is a death sentence for the people of Yemen. Every penny may save MANY lives!. Donate on @justgiving and help raise £40000 https://www.justgiving.com/crowdfunding/naziya-khatun-3?utm_source=twitter&amp;utm_medium=socpledgedesktop&amp;utm_content=naziya-khatun-3&amp;utm_campaign=post-pledge-desktop&amp;utm_term=Z6NVrd9Y7 """""
82,2020-03-11 22:37:41+00:00,Bold prediction for summer 2020: Russia will get involved in Yemen.
83,2020-03-11 22:37:17+00:00,"Soon enough few countries will care about what happens to and in Washington...like Washington cared about what they did in Africa, Korea, Vietnam, Iraq, Libya, Yemen, Yugoslavia, and Syria... #ongoing"
84,2020-03-11 22:36:37+00:00,And this is what the British and US are doing in Yemen. 
85,2020-03-11 22:34:16+00:00,"Saudi Arabia statement concerning what happened today, when some members of the STC weren't allowed to fly to Aden. Urged both signatories of the Riyadh Agreement to work together to resolve differences & challenges facing the implementation of the agreement. #SouthYemen #Yemen "
86,2020-03-11 22:33:17+00:00,You want blood money for Iran to commit genocide in Syria and send ballistic missiles at saudi from Yemen which happened under Obama. How many dead in Afghanistan that trump is moving troops out of.
87,2020-03-11 22:31:49+00:00,"20 million people in Yemen are food insecure. Children are skin and bones starving to death. It’s absolutely heartbreaking, so if you have the means, please donate. They have people on the ground supplying the food packages to those in need in Yemen. Do what you can. "
88,2020-03-11 22:31:06+00:00,"He also tortures and kills children and babies! At the border, in Yemen and in Syria to please mass murderers like MBS, Putin and his heartless/brainless cult followers! "
89,2020-03-11 22:30:13+00:00,"Again, another lie. He was called the ""Amendment King"" for a reason. He also formed a bipartisan coalition in the Senate for a War Powers act against the War in Yemen, which Trump vetoed. Do you disagree with Sanders and his positions?"
90,2020-03-11 22:30:00+00:00,"NEW: Major fighting in #Yemen, rising #IslamicState activity in #Iraq, a ceasefire agreement between #Turkey and #Russia in #Syria, inconclusive #Israeli elections, and a spike in protests across the Middle East. Regional Overview "
91,2020-03-11 22:27:14+00:00,"When conscience and humanity die, believe everything.. #SaudiArabia #Yemen_war #Yemen"
92,2020-03-11 22:26:29+00:00,The bloody killing of kids in Yemen by the @Saudi and her alliance the @USA and @Briton is inhumane. @free_equal Should come out condemned these acts.
93,2020-03-11 22:23:04+00:00,"You are a dangerous virus that has killed thousands of innocent women and children in Afghanistan, Yemen and Syria so far with your support"
94,2020-03-11 22:22:56+00:00,"- US-Iran conflict - Yemen, Lybian civil war - 500million animals were killed by the wildfire in Australia - Brexit - COVID 19. And we’re only in March. "
95,2020-03-11 22:21:36+00:00,"Wars in #Syria, #Libya &amp; #Yemen"
96,2020-03-11 22:21:35+00:00,"Ah. all good then. But sure, perhaps headline was inaccurate. Let's retract and go with ""military equipment"" or ""weapons system"". None of which mask the fact that we're selling material to KSA meant for combat use while they're engaged in a disastrous conflict with Yemen."
97,2020-03-11 22:20:36+00:00,The war in Yemen is enough، Stop the war in yemen، Saudi Arabia and Israel are American bastards، In soon coming: #hard_revenge
98,2020-03-11 22:20:24+00:00,"Three millions displaced in #Yemen war-- completely forgotten. But, no more forgetting is allowed. #Cholera has already been there,#Corona will be more fatal #Save #Save #Save"
99,2020-03-11 22:19:50+00:00,"Yo Dumbo, any clue how many kids killed in US and Saudi airstrikes in Yemen from 2010-2016? How many US soldiers killed btwn 2000-2016? So cut that the crap , put that mask on and get off the twitter!"
100,2020-03-11 22:18:36+00:00,Did you check your sanity in Yemen
101,2020-03-11 22:14:47+00:00,Like the ones Obama and Biden starved to death in Yemen?
102,2020-03-11 22:14:19+00:00,"Yemen: The beginning of a year in which Saudi Arabia is falling apart, starting with the arrest of state officials and the collapse of the shares of the largest oil company. 10-03-2020 "
103,2020-03-11 22:14:06+00:00,"...but he's more than welcome to go on getting your kids shot in Iraq, Afghanistan, Syria, & here & there in Africa...Now Featuring Yemen! However Iran might blow up to the point OUR kids would have to fight! LOL no! "
104,2020-03-11 22:13:11+00:00,"People join the military to get free college. When in the military people end up bombing and killing innocent civilians in other countries. Whether on purpose or on accident or say, by helping Saudi Arabia bomb a bunch of children in Yemen"
105,2020-03-11 22:13:10+00:00,"Yemen: The beginning of a year in which Saudi Arabia is falling apart, starting with the arrest of state officials and the collapse of the shares of the largest oil company. 10-03-2020 "
106,2020-03-11 22:08:19+00:00,"Yemen: After liberating it from the hands of the tools of the aggression, the situaion with the markets destroyed by the aggression in the Nahham district. 11-03-2020 "
107,2020-03-11 22:07:47+00:00,"When I see pics and videos from Yemen, I immediately remember the civil war."
108,2020-03-11 22:07:28+00:00,I have a feeling Iran will persuade Russia to get involved in Yemen this summer. Just before the elections for which Trump can absolutely not afford to get the USA involved in another Syria. It will be a nice blow against the Saudi's oil move.
109,2020-03-11 22:06:48+00:00,#YEMEN Shame on all humanity to see the suffering of the children of Yemen and continue to keep a defending silence. It is a disgrace to all humanity to keep watching the children of Yemen in agony and dying from preventable diseases and man-made starvation without trying to 1/2 
110,2020-03-11 22:05:17+00:00,Another political slam brought to you by Deb the Yemen baby murderer.
111,2020-03-11 22:05:03+00:00,"Against international and domestic challenges, Yemen LNG managed to prevail during its short-lived operational period, providing a steady stream of government revenue and local employment. @ColbyAntonius"
112,2020-03-11 22:04:54+00:00,"#pray for the suffering worldwide Dear Almighty God pls stop the war in Yemen stop the war in Syria stop coronavirus covid-19 intervene in every situation whereever whoever needs your help. Dear God open the eyes of people, open their hearts. Amen"
113,2020-03-11 22:03:05+00:00,Yemen: The Aden conflict continues and expands. 11-03-2020 
114,2020-03-11 22:01:22+00:00,"Is it ""redpilled"" when Trump sends money and weapons to Israel, recognizes their territorial claim over Golan and Jerusalem, boosts AIPAC, helps Israel destroy Syria over a faked chemical weapons attack, helps al-Qaeda, helps the Saudis destroy Yemen etc.?"
115,2020-03-11 22:01:20+00:00,"5/5 Hamas, 5, was brought to the hospital by her father after she fell off a motorbike. In #Yemen the healthcare system has collapsed due to the war, making it particularly difficult for people in remote places like #AdDhale to get the treatment they need. @MSF"
116,2020-03-11 22:00:29+00:00,Meet Ibrahim Aljahim. This Yemen Muslim immigrant raped a disabled teenager outside of a high school last September. He is also a Democratic activist and a close friend of Representative Rashida Tlaib (MI) 
117,2020-03-11 22:00:01+00:00,"AI Screenplay Pitch #43: ""A young Muslim man in Yemen takes an interest in Marcine Dufrene and so convinces her husband and her father decide to read aloud and respond to letters from the Vian Estate."""
118,2020-03-11 22:00:00+00:00,"In #Yemen, the internet is a key front in the #conflict"
119,2020-03-11 21:59:43+00:00,"3/5 Mohammed, 35, was shot in the right knee on February 28. He says that he was trying to move a friend to safety who had also just been shot. With his kneecap smashed, he needs further operations to recover. “I am in so much pain,” he said. @MSF #AdDhale #Yemen "
120,2020-03-11 21:59:39+00:00,"you are joking right? iraq, libya, syria, afghanistan, palestine, venzeula, yemen.....what about the rights of the millions you have killed in these countries? never mind all the other the usa interferes in or has done."
121,2020-03-11 21:59:14+00:00,"imagine what #covid19 will reap in Yemen and Syria with their wide spread malnutrition... ? We wont really know, their healthcare systems are not robust and I dont believe they're even testing and are surrounded by the virus"
122,2020-03-11 21:58:34+00:00,"Oh, give me a break. ""Deescalate tensions""!!??? Yeah, by pulling out of the JCPOA!! By heaping punitive sanctions on them, on Venezuela, Bolivia - China! By starving & killing 1000s of civilians in Yemen! Yeah, great foreign policy instincts!"
123,2020-03-11 21:58:29+00:00,2/5 The hospital is the only government hospital in the governorate and is crowded with injured from the nearby front line and sick people who have nowhere else to go. The needs are huge and the staff overwhelmed. @MSF #AdDhale #Yemen 
124,2020-03-11 21:57:41+00:00,"#Yemen The security belt forces launched on Wednesday a massive campaign of arrests in the districts of Sheikh Othman and Dar Saad in the Yemeni interim capital, #Aden."
125,2020-03-11 21:57:23+00:00,Yemen’s Houthi rebels have increased their usage of explosive-laden #drone #boats. #redsea #yemen #houthi #terrorism #maritime #security #highrisk #africa
126,2020-03-11 21:57:04+00:00,"Don't cry, baby. Criminals will not hear your screams. But we will take revenge on criminals, and God Almighty is with us and Victory is an ally us Yemen people. A Yemeni baby girl cries her father who was killed by the Saudi bombing. #Yemen https://twitter.com/Israa_alqahoom/status/783240485863292928/video/1"
127,2020-03-11 21:57:00+00:00,"1/5 At the beginning of March @MSF restarted its support to the emergency room and operating theatre in al-Nasser hospital in #AdDhale, #Yemen . We were forced to stop our previous support to the hospital in November 2018 due to a number of security incidents. "
128,2020-03-11 21:56:58+00:00,"America is the Greatest Country in the world. U have the largest number of incarcerated ppl in the world, no basic healthcare, arming and supporting a genocide in yemen that u want to continue, the largest military budget in the world while flint michigan doesnt have clean water"
129,2020-03-11 21:55:37+00:00,"Criminals are not only the U.S. & UK who sell weapons to the KSA, but also Israelis who instigate to attack the unarmed civilian in Yemen to justify their own atrocities against Palestinians! They will all face the Judgement Day, the Godless SOB! Rot in Hell! "
130,2020-03-11 21:53:53+00:00,"There already is from kids dying in cages, children dying of starvation in Yemen because Trump is supporting and assisting his Saudi business associates in their murder, the deaths of the Kurds he sold out to Turkey to protect is hotels in Istanbul. And there is Khashoggi. "
131,2020-03-11 21:52:48+00:00,I think what you’re saying is a joke. If you know that Houtha is the reason why Yemen ppl are dying then I would have taken you serious. But I won’t be discussing with someone who is yet to show numbers and confirmed status. You kept denying the global index of slavery
132,2020-03-11 21:52:10+00:00,"Didn't know Iran borders Syria, Lebanon, Yemen..."
133,2020-03-11 21:50:09+00:00,#Yemen Red Cross appeal https://www.redcross.ie/blog/2017/06/the-worlds-single-largest-humanitarian-crisis/
134,2020-03-11 21:49:42+00:00,"I don't believe Americans support the crimes on Yemen, Syria and others but most still don't realise there was a Zionist coup in Washington on 9/11 /2001 which has bled them dry and turned the US into a rogue state."
135,2020-03-11 21:48:38+00:00,"Both had a few good accomplishments, Obama with Iran and Cuba, trump with Afghanistan and for a while with North Korea Both continued wars, expanded wars Obama got in on Yemen Obama devastated Syria by pouring weaponry and imposing sanctions Trump on the verge of war with Iran"
136,2020-03-11 21:48:04+00:00,President Trump promised to get us out of forever wars yet he vetoed legislation to end U.S. military involvement in Yemen and threatened to veto this bill to thwart a war with Iran.
137,2020-03-11 21:47:41+00:00,He's literally arming and funding a genocide in Yemen right now
138,2020-03-11 21:46:38+00:00," well then... Shallal has been a target of GoY since Ramadan2018, many thought he’d be removed - He was supposed 2 b replaced under Riyadh Agreement - members of STC Delegation were in Riyadh since Nov2019 as part of Committees #Yemen https://twitter.com/saharyafa/status/1237850826690818051?s=21"
139,2020-03-11 21:45:11+00:00,"""@FAO is asking for $900 million to reach 43 million vulnerable, agriculture-dependent people at risk of increased acute #foodinsecurity in 22 countries including Burkina Faso, Chad, Ethiopia, Libya, Myanmar, Syria and Yemen."" http://www.fao.org/news/story/en/item/1265339/icode/"
140,2020-03-11 21:45:11+00:00,Eminem on a theremin in Yemen.
141,2020-03-11 21:44:30+00:00,"infectious and the others can all be contained and in micro hand shake and hand him Nigeria oman Somalia and Kenya and what Africa wants to be your friends and join at and with all those soldiers for militarys diesel order and in a world organizations a gas pump, a yemen"
142,2020-03-11 21:44:25+00:00,"I never voted for turning Libya into an open-air slave market, putting babies in cages at the border, extra-judicially assassinating a 16-year-old American, facilitating the mass-starvation in Yemen, ""looking forward"" wrt crimes of the Iraq War and CIA torture. Privilege, indeed."
143,2020-03-11 21:43:47+00:00,And then found the questions on yemen interesting... and then got into unstable territories almost by accident as a result. I think you are so lucky to have lots of interests- just get the reading in and as much experience as you can and you will start finding your draw... and
144,2020-03-11 21:43:21+00:00,"When is USA going to apologize for the millions of deaths in the Middle East. American Indians Libya, Iraq Syria RAQQA Syria where USA bombed and killed thousands. Yemen the atrocities committed by Saudi supplied by USA military in this century I might add"
145,2020-03-11 21:42:56+00:00,#PutinKochGOP IS COMMITTING Genocide by Neglect like Yemen + Maria. They could not be happier. Mitch is off stealing your HC + social security. They are killing us. 
146,2020-03-11 21:42:51+00:00,Tell that to the people in Yemen and the 63k Yemeni children that were starved to death in 2016 while the US blockaded &amp; helped bomb critical infrastructure. Obama belongs in The Hague along with most of our Presidents. Please look beyond “THE AMERICAN PRIVILEGE” we live.
147,2020-03-11 21:42:33+00:00,"The horrors that men do. The suffering of the innocent. It's unholy, and wretched. May the men responsible burn for eternity."
148,2020-03-11 21:40:46+00:00,Well I guess I'm going to Yemen...
149,2020-03-11 21:39:03+00:00,"Go to #Syria, #Libya, #Yemen, #Iraq, #Palestine and ask those that have had #US #UK #EU bombs blowing them to bits in their millions for years how bad this #flu is?"
150,2020-03-11 21:37:00+00:00,He may get away with his shit & with help from moderators. You need to ask him specific questions: what's his health plan? how many will be left out? cost?how will he pass it? how will his plan address a pandemic? will he end the war in Yemen?
151,2020-03-11 21:34:39+00:00,"#PutinKochsGOP attacking the US with genocide of neglect they’ve perfected Maria + Yemen. Goodbye, I am so sorry @SenateDems @HouseDemocrats @USGovernors @usmayors @FBI Traitors @SenateGOP @HouseGOP @VP"
152,2020-03-11 21:34:32+00:00,Video of the full statement by the Southern Transitional Council's Spokesmen regarding the incident that happened today which members of the STC were stopped in Amman Jordan not allowed to return to Aden. #SouthYemen #Yemen #south24
153,2020-03-11 21:32:47+00:00,The situation in Yemen is not what it was four years ago. I see no basis to assume he will ignore any humanitarian crisis. None.
154,2020-03-11 21:31:48+00:00,"Funny enough, Obama and Biden, now trump, militarily backed 70% of the world’s dictatorships. With Saudi Arabia they started the deadliest humanitarian crisis on the planet in Yemen. There’s a certain senator from Vermont leading the charge to end it in congress"
155,2020-03-11 21:31:34+00:00,In 2020: -Remove Trump -End Yemen/Prevent Iran wars -Repeal TAXSCAM -No BABIES in cages -VOTING RIGHTS -REPRODUCTIVE RIGHTS -Sex Strike GOP -MEDICARE 4 ALL -Expand SNAP -END HOMELESSNESS -ANTI-CORRUPTION BILL -Living Wage -Civil Liberties -Green New Deal -Wealth Tax-yes
156,2020-03-11 21:31:33+00:00,"This is indeed the outcome of Saudi, the US and UK helping to bomb Yemen into the stone age ...these children deserve every chance at life that children across the world deserve."
